ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10898429,JA209744,04/01/2017 12:01:00 AM,033XX W WARREN BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,1123,011,28,27,06,1154153,1900148,2017,04/08/2017 03:49:53 PM,41.881834358,-87.709413965,"(41.881834358, -87.709413965)"
10897438,JA208737,04/01/2017 12:01:00 AM,046XX N MONTICELLO AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,SIDEWALK,false,false,1723,017,33,14,02,1151213,1930793,2017,04/08/2017 03:49:53 PM,41.965985054,-87.71940401,"(41.965985054, -87.71940401)"
10897062,JA208054,04/01/2017 12:02:00 AM,079XX S MAY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0612,006,17,71,14,1170029,1852200,2017,04/08/2017 03:49:53 PM,41.74992863,-87.652512715,"(41.74992863, -87.652512715)"
10897064,JA208075,04/01/2017 12:05:00 AM,086XX S ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,false,false,0614,006,21,71,07,1167181,1847361,2017,04/08/2017 03:49:53 PM,41.736711088,-87.663087144,"(41.736711088, -87.663087144)"
10897025,JA208149,04/01/2017 12:10:00 AM,070XX S COTTAGE GROVE AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,POLICE FACILITY/VEH PARKING LOT,true,false,0321,003,6,42,26,1182773,1858454,2017,04/08/2017 03:49:53 PM,41.76680404,-87.605619683,"(41.76680404, -87.605619683)"
10897042,JA208108,04/01/2017 12:13:00 AM,072XX S SOUTH SHORE DR,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,false,true,0334,003,7,43,04B,1194878,1857803,2017,04/08/2017 03:49:53 PM,41.764728045,-87.561272312,"(41.764728045, -87.561272312)"
10897077,JA208100,04/01/2017 12:20:00 AM,052XX S PEORIA ST,0460,BATTERY,SIMPLE,APARTMENT,false,false,0934,009,20,61,08B,1171197,1870100,2017,04/08/2017 03:49:53 PM,41.799022932,-87.647709727,"(41.799022932, -87.647709727)"
10896969,JA208090,04/01/2017 12:22:00 AM,0000X W DIVISION ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1824,018,42,8,08B,1175872,1908368,2017,04/08/2017 03:49:53 PM,41.903929491,-87.629415106,"(41.903929491, -87.629415106)"
10897264,JA208473,04/01/2017 12:30:00 AM,054XX S PRAIRIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,0231,002,3,40,07,1178968,1868935,2017,04/08/2017 03:49:53 PM,41.795652442,-87.619247355,"(41.795652442, -87.619247355)"
10897193,JA208409,04/01/2017 12:30:00 AM,056XX W HURON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1511,015,29,25,06,1138728,1904080,2017,04/08/2017 03:49:53 PM,41.892918025,-87.765959514,"(41.892918025, -87.765959514)"
10897171,JA208361,04/01/2017 12:30:00 AM,029XX N SHEFFIELD AVE,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1933,019,44,6,06,1169109,1919567,2017,04/08/2017 03:49:53 PM,41.934809746,-87.653931188,"(41.934809746, -87.653931188)"
10897028,JA208069,04/01/2017 12:30:00 AM,014XX W 83RD ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0614,006,21,71,04B,1168359,1849713,2017,04/08/2017 03:49:53 PM,41.743140055,-87.658703772,"(41.743140055, -87.658703772)"
10896990,JA208111,04/01/2017 12:30:00 AM,024XX W FLOURNOY ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,true,false,1135,011,2,28,18,1160183,1896961,2017,04/08/2017 03:49:53 PM,41.872966504,-87.687359957,"(41.872966504, -87.687359957)"
10896971,JA208070,04/01/2017 12:30:00 AM,110XX S MICHIGAN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0513,005,9,49,16,1178852,1832003,2017,04/08/2017 03:49:53 PM,41.694309334,-87.620794172,"(41.694309334, -87.620794172)"
10897024,JA208099,04/01/2017 12:33:00 AM,061XX S ASHLAND AVE,0264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,ALLEY,false,false,0714,007,15,67,02,1166720,1864100,2017,04/08/2017 03:49:53 PM,41.782655024,-87.664299154,"(41.782655024, -87.664299154)"
10897050,JA208093,04/01/2017 12:40:00 AM,013XX W 15TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1233,012,2,28,08B,1167732,1892862,2017,04/08/2017 03:49:53 PM,41.861559271,-87.65976218,"(41.861559271, -87.65976218)"
